id,list_id,priority,category,word,sentence1,sentence2,sentence3
1,1,1,Pre-Primer,the,There is a cat in the woods.,The cat runs fast.,The cat is white.
2,1,1,Pre-Primer,and,The plane goes up and down.,My mom and dad were waiting for me.,You can see the moon and the stars. 
3,1,1,Pre-Primer,to,I went to the pool.,I have to go grab the ball., He's on the way to the park. 
4,1,1,Pre-Primer,a,I saw a cat today.,I have a band-aid on my knee.,There is a ladybug on the leaf.
5,1,1,Pre-Primer,I,I need to take a nap.,I nap during the day when I'm tired.,I played at the park today.
6,1,1,Pre-Primer,you,Where are you hiding?,You showed up late today.,How are you feeling?
7,1,1,Pre-Primer,it,It hurt when I fell down.,It is raining outside today.,It is a red balloon.
8,1,1,Pre-Primer,in,The movie is set in the future.,Its cold in the room.,How for are you in the book?
9,1,1,Pre-Primer,said,I said my name was Emily.,She said to call her later.,He said he has a dog not a cat.
10,1,1,Pre-Primer,for,I went looking for some snacks.,He bought a book for his brother.,We were waiting for an hour.
11,1,1,Pre-Primer,up,His birthday was coming up.,Theres a house up on the hill.,How high up do balloons float?
12,1,1,Pre-Primer,look,The clouds look like a jellyfish.,Look at he red ball.,You look nice today.
13,1,1,Pre-Primer,is,What is a noun?,He is giving her a blue hat.,When is your birthday?
14,1,1,Pre-Primer,go,I want to go to the pool.,We go to school on the bus.,Where do you want to go?
15,1,1,Pre-Primer,we,We went fishing on Saturday.,What are we going to do?,We both went to the movies.
16,1,1,Pre-Primer,little,The bird was very little.,I used to be scared of the dark when I was little.,I got very little sleep last night.
17,1,1,Pre-Primer,down,I need to calm down.,The ball rolled down the hill.,How far down does the hole lead?
18,1,1,Pre-Primer,can,Can I see you on Sunday?,How far can you throw the ball?,The soup was stored in a tin can.
19,1,1,Pre-Primer,see,I use my eyes to see.,I can't wait to see you on Sunday.,Do you see that bird building its nest?
20,1,1,Pre-Primer,not,The books are not here.,She will not be in class today.,They do not get along.
21,1,1,Pre-Primer,one,There was only one bag left.,I have one more cookie.,My dog is bigger than the other one.
22,1,1,Pre-Primer,my,I like my cat.,This is my sister.,My dog is very pretty.
23,1,1,Pre-Primer,me,She gave me her last cookie.,Can you pass me the ball?,Dad brought me to the park.
24,1,1,Pre-Primer,big,I see a big elephant.,Her house is very big compared to mine.,My dollhouse is pretty big.
25,1,1,Pre-Primer,come,Do you want to come over?,The bird will come back to its nest.,Please come and sit next to me.
26,1,1,Pre-Primer,blue,My favorite color is blue.,The blue bird is very pretty.,What has you feeling so blue?
27,1,1,Pre-Primer,red,Red roses are my favorite.,Red is my favorite color.,I always use red on my drawings.
28,1,1,Pre-Primer,where,Where did your sister go?,Can you tell me where the library is?,Where did I put my shoes.
29,1,1,Pre-Primer,jump,The frog can jump really high.,Can you jump over that puddle?,I play jump rope all the time.
30,1,1,Pre-Primer,away,The birds flew away.,How far away are we?,Can you put your toys away?
31,1,1,Pre-Primer,here,Here is your present.,I'm here to help.,It's cold down here.
32,1,1,Pre-Primer,help,Can you help me find my parents?,I help my mom cook dinner.,Can you help me find my toy?
33,1,1,Pre-Primer,make,I can't make it to your birthday.,Lets make a birthday cake for mom.,Can you make a sandwich for me?
34,1,1,Pre-Primer,yellow,Yellow is one of my favorite colors.,The flowers are yellow.,Look at the yellow on that caterpillar.
35,1,1,Pre-Primer,two,I wanted two dogs.,My younger brother is two years old.,I had two friends over yesterday.
36,1,1,Pre-Primer,play,I want to play on the playground.,My friend came over yesterday to play.,My sister was in a school play.
37,1,1,Pre-Primer,run,I like to run around outside.,We had to run a lot during tag.,I love to run after my dog in the backyard.
38,1,1,Pre-Primer,find,Can you help me find my toy?,She will find the answer to the riddle.,Lets find a new book to read.
39,1,1,Pre-Primer,three,The three little pigs is my favorite story.,There are three dogs in my house.,I have three siblings.
40,1,1,Pre-Primer,funny,He's a very funny guy.,He told a funny story.,A funny thing happened yesterday.
41,2,2,Primer,he,He had a cute dog.,He likes to play soccer.,He has a blue shirt.
42,2,2,Primer,was,I was happy to see my friends.,It was a sunny day yesterday.,The little boy was eating an apple.
43,2,2,Primer,that,That is my dog.,Can you see the bird in that tree.,That was a fun game.
44,2,2,Primer,she,She is my sister.,She likes to play volleyball.,She is wearing a red shirt.
45,2,2,Primer,on,This book is on sale.,I hope my package arrives on time.,I'm going on a trip next week.
46,2,2,Primer,they,They are playing in the park.,They are my friends.,They like to eat pizza for dinner.
47,2,2,Primer,but,I like pizza but not mushrooms.,Its sunny but cold outside.,I want to play but need to do homework first.
